"cbsa_code","cbsa_title","state_fips_list","n_states","multi_state_metro"
"28580","Key West-Key Largo, FL","12",1,FALSE
"28620","Kill Devil Hills, NC","37",1,FALSE
"28660","Killeen-Temple, TX","48",1,FALSE
"28680","Kingsland, GA","13",1,FALSE
"28700","Kingsport-Bristol, TN-VA","47;51",2,TRUE
"28740","Kingston, NY","36",1,FALSE
"28780","Kingsville, TX","48",1,FALSE
"28820","Kinston, NC","37",1,FALSE
"28860","Kirksville, MO","29",1,FALSE
"28880","Kiryas Joel-Poughkeepsie-Newburgh, NY","36",1,FALSE
"28900","Klamath Falls, OR","41",1,FALSE
"28940","Knoxville, TN","47",1,FALSE
"29020","Kokomo, IN","18",1,FALSE
"29060","Laconia, NH","33",1,FALSE
"29100","La Crosse-Onalaska, WI-MN","27;55",2,TRUE
"29180","Lafayette, LA","22",1,FALSE
"29200","Lafayette-West Lafayette, IN","18",1,FALSE
"29260","La Grande, OR","41",1,FALSE
"29300","LaGrange, GA-AL","01;13",2,TRUE
"29340","Lake Charles, LA","22",1,FALSE
"29380","Lake City, FL","12",1,FALSE
"29420","Lake Havasu City-Kingman, AZ","04",1,FALSE
"29460","Lakeland-Winter Haven, FL","12",1,FALSE
"29470","Lake of the Woods, VA","51",1,FALSE
"29540","Lancaster, PA","42",1,FALSE
"29620","Lansing-East Lansing, MI","26",1,FALSE
"29660","Laramie, WY","56",1,FALSE
"29700","Laredo, TX","48",1,FALSE
"29720","Lares, PR","72",1,FALSE
"29740","Las Cruces, NM","35",1,FALSE
"29780","Las Vegas, NM","35",1,FALSE
"29820","Las Vegas-Henderson-North Las Vegas, NV","32",1,FALSE
"29860","Laurel, MS","28",1,FALSE
"29900","Laurinburg, NC","37",1,FALSE
"29940","Lawrence, KS","20",1,FALSE
"29980","Lawrenceburg, TN","47",1,FALSE
"30020","Lawton, OK","40",1,FALSE
"30060","Lebanon, MO","29",1,FALSE
"30140","Lebanon, PA","42",1,FALSE
"30150","Lebanon-Claremont, NH-VT","33;50",2,TRUE
"30180","Le Mars, IA","19",1,FALSE
"30260","Lewisburg, PA","42",1,FALSE
"30280","Lewisburg, TN","47",1,FALSE
"30300","Lewiston, ID-WA","16;53",2,TRUE
"30340","Lewiston-Auburn, ME","23",1,FALSE
"30380","Lewistown, PA","42",1,FALSE
"30420","Lexington, NE","31",1,FALSE
"30460","Lexington-Fayette, KY","21",1,FALSE
"30500","Lexington Park, MD","24",1,FALSE
"30580","Liberal, KS","20",1,FALSE
"30620","Lima, OH","39",1,FALSE
"30660","Lincoln, IL","17",1,FALSE
"30700","Lincoln, NE","31",1,FALSE
"30780","Little Rock-North Little Rock-Conway, AR","05",1,FALSE
"30820","Lock Haven, PA","42",1,FALSE
"30860","Logan, UT-ID","16;49",2,TRUE
"30900","Logansport, IN","18",1,FALSE
"30980","Longview, TX","48",1,FALSE
"31020","Longview-Kelso, WA","53",1,FALSE
"31060","Los Alamos, NM","35",1,FALSE
"31080","Los Angeles-Long Beach-Anaheim, CA","06",1,FALSE
"31140","Louisville/Jefferson County, KY-IN","18;21",2,TRUE
"31180","Lubbock, TX","48",1,FALSE
"31220","Ludington, MI","26",1,FALSE
"31260","Lufkin, TX","48",1,FALSE
"31300","Lumberton, NC","37",1,FALSE
"31340","Lynchburg, VA","51",1,FALSE
"31380","Macomb, IL","17",1,FALSE
"31420","Macon-Bibb County, GA","13",1,FALSE
"31500","Madison, IN","18",1,FALSE
"31540","Madison, WI","55",1,FALSE
"31580","Madisonville, KY","21",1,FALSE
"31620","Magnolia, AR","05",1,FALSE
"31680","Malvern, AR","05",1,FALSE
"31700","Manchester-Nashua, NH","33",1,FALSE
"31740","Manhattan, KS","20",1,FALSE
"31820","Manitowoc, WI","55",1,FALSE
"31860","Mankato, MN","27",1,FALSE
"31900","Mansfield, OH","39",1,FALSE
"31930","Marietta, OH","39",1,FALSE
"31940","Marinette, WI-MI","26;55",2,TRUE
"31980","Marion, IN","18",1,FALSE
"32000","Marion, NC","37",1,FALSE
"32020","Marion, OH","39",1,FALSE
"32060","Marion-Herrin, IL","17",1,FALSE
"32100","Marquette, MI","26",1,FALSE
"32140","Marshall, MN","27",1,FALSE
"32180","Marshall, MO","29",1,FALSE
"32260","Marshalltown, IA","19",1,FALSE
"32280","Martin, TN","47",1,FALSE
"32300","Martinsville, VA","51",1,FALSE
"32340","Maryville, MO","29",1,FALSE
"32380","Mason City, IA","19",1,FALSE
"32390","Massena-Ogdensburg, NY","36",1,FALSE
"32420","Mayag<U+00FC>ez, PR","72",1,FALSE
"32460","Mayfield, KY","21",1,FALSE
"32540","McAlester, OK","40",1,FALSE
"32580","McAllen-Edinburg-Mission, TX","48",1,FALSE
"32620","McComb, MS","28",1,FALSE
"32660","McMinnville, TN","47",1,FALSE
"32700","McPherson, KS","20",1,FALSE
"32740","Meadville, PA","42",1,FALSE
"32780","Medford, OR","41",1,FALSE
"32820","Memphis, TN-MS-AR","05;28;47",3,TRUE
"32860","Menomonie, WI","55",1,FALSE
"32900","Merced, CA","06",1,FALSE
"32940","Meridian, MS","28",1,FALSE
"33020","Mexico, MO","29",1,FALSE
"33060","Miami, OK","40",1,FALSE
"33100","Miami-Fort Lauderdale-West Palm Beach, FL","12",1,FALSE
"33140","Michigan City-La Porte, IN","18",1,FALSE
"33180","Middlesborough, KY","21",1,FALSE
"33220","Midland, MI","26",1,FALSE
"33260","Midland, TX","48",1,FALSE
"33300","Milledgeville, GA","13",1,FALSE
"33340","Milwaukee-Waukesha, WI","55",1,FALSE
"33380","Minden, LA","22",1,FALSE
"33420","Mineral Wells, TX","48",1,FALSE
"33460","Minneapolis-St. Paul-Bloomington, MN-WI","27;55",2,TRUE
"33500","Minot, ND","38",1,FALSE
"33540","Missoula, MT","30",1,FALSE
"33580","Mitchell, SD","46",1,FALSE
"33620","Moberly, MO","29",1,FALSE
"33660","Mobile, AL","01",1,FALSE
"33700","Modesto, CA","06",1,FALSE
"33740","Monroe, LA","22",1,FALSE
"33780","Monroe, MI","26",1,FALSE
"33860","Montgomery, AL","01",1,FALSE
"33900","Monticello, IN","18",1,FALSE
"33910","Monticello, NY","36",1,FALSE
"33940","Montrose, CO","08",1,FALSE
"33980","Morehead City, NC","37",1,FALSE
"34020","Morgan City, LA","22",1,FALSE
"34060","Morgantown, WV","54",1,FALSE
"34100","Morristown, TN","47",1,FALSE
"34140","Moscow, ID","16",1,FALSE
"34180","Moses Lake, WA","53",1,FALSE
"34220","Moultrie, GA","13",1,FALSE
"34260","Mountain Home, AR","05",1,FALSE
"34300","Mountain Home, ID","16",1,FALSE
"34340","Mount Airy, NC","37",1,FALSE
"34380","Mount Pleasant, MI","26",1,FALSE
"34420","Mount Pleasant, TX","48",1,FALSE
"34460","Mount Sterling, KY","21",1,FALSE
"34500","Mount Vernon, IL","17",1,FALSE
"34540","Mount Vernon, OH","39",1,FALSE
"34580","Mount Vernon-Anacortes, WA","53",1,FALSE
"34620","Muncie, IN","18",1,FALSE
"34660","Murray, KY","21",1,FALSE
"34680","Murrells Inlet, SC","45",1,FALSE
"34700","Muscatine, IA","19",1,FALSE
"34740","Muskegon-Norton Shores, MI","26",1,FALSE
"34780","Muskogee, OK","40",1,FALSE
"34820","Myrtle Beach-Conway-North Myrtle Beach, SC","45",1,FALSE
"34860","Nacogdoches, TX","48",1,FALSE
"34880","Nantucket, MA","25",1,FALSE
